symbol,pip_size,pip_round,pip_price_%,contractId,lastPrice,bid1,ask1,volume24,amount24,holdVol,lower24Price,high24Price,riseFallRate,riseFallValue,indexPrice,fairPrice,fundingRate,maxBidPrice,minAskPrice,timestamp,riseFallRates,riseFallRatesOfTimezone
VELO_USDT,0.000001,6,0.00786,422,0.012724,0.012715,0.012716,117140,1481053.895,103195,0.012133,0.013013,0.0063,8e-05,0.012715,0.012713,-0.000185,0.015258,0.010172,1743334332726,"{'zone': 'UTC+8', 'r': 0.0063, 'v': 8e-05, 'r7': -0.0273, 'r30': -0.2673, 'r90': -0.4977, 'r180': -0.2354, 'r365': 0.4109}","[-0.006, 0.0128, 0.0063]"
SHIB_USDT,0.000000001,9,0.00792,126,1.2636e-05,1.2631e-05,1.2632e-05,3159229764,40012323.094795,538688700,1.2435e-05,1.2899e-05,-0.0062,-8e-08,1.2634e-05,1.2632e-05,-0.00021,1.516e-05,1.0107e-05,1743334332387,"{'zone': 'UTC+8', 'r': -0.0062, 'v': -8e-08, 'r7': -0.0156, 'r30': -0.134, 'r90': -0.424, 'r180': -0.2903, 'r365': -0.5846}","[-0.0093, -0.0029, -0.0062]"
SOL_USDT,0.01,2,0.008,51,124.95,124.94,124.95,253010737,3164638794.827,18662362,122.52,126.73,-0.01,-1.27,125.1,125.01,-0.000118,137.61,112.59,1743334332302,"{'zone': 'UTC+8', 'r': -0.01, 'v': -1.27, 'r7': -0.0325, 'r30': -0.1048, 'r90': -0.3592, 'r180': -0.1891, 'r365': -0.3246}","[-0.0069, 0.0039, -0.01]"
1000BONK_USDT,0.000001,6,0.00877,388,0.011408,0.0114,0.011401,74306,8427099.11,17980,0.010998,0.011624,0.0071,8.1e-05,0.011418,0.011409,-0.000147,0.013701,0.009134,1743334332533,"{'zone': 'UTC+8', 'r': 0.0071, 'v': 8.1e-05, 'r7': -0.0781, 'r30': -0.1684, 'r90': -0.6379, 'r180': -0.5215, 'r365': -0.567}","[-0.0173, 0.0072, 0.0071]"
JASMY_USDT,0.000001,6,0.00899,195,0.011134,0.011126,0.011127,61352416,6731269.48239,23817395,0.010611,0.011304,0.0179,0.000196,0.01114,0.011134,-7.9e-05,0.013368,0.008912,1743334332441,"{'zone': 'UTC+8', 'r': 0.0179, 'v': 0.000196, 'r7': -0.1073, 'r30': -0.4086, 'r90': -0.673, 'r180': -0.4932, 'r365': -0.4632}","[-0.0021, 0.009, 0.0179]"
AIXBT_USDT,0.00001,5,0.00943,842,0.106,0.10597,0.10599,8722695,9170144.5793,1833455,0.10253,0.1098,0.0024,0.00026,0.10615,0.10601,-8.2e-05,0.12738,0.08492,1743334332510,"{'zone': 'UTC+8', 'r': 0.0024, 'v': 0.00026, 'r7': 0.015, 'r30': -0.4859, 'r90': -0.7897}","[-0.0176, 0.0193, 0.0024]"
TRUMPOFFICIAL_USDT,0.001,3,0.00985,981,10.154,10.154,10.155,177520314,178508098.5306,16056920,9.84,10.364,0.0142,0.143,10.162,10.159,5e-05,12.194,8.129,1743334332342,"{'zone': 'UTC+8', 'r': 0.0142, 'v': 0.143, 'r7': -0.0684, 'r30': -0.213}","[0.0143, 0.0085, 0.0142]"
EIGEN_USDT,0.0001,4,0.01061,704,0.9429,0.9423,0.9424,9996871,9343787.899,4388427,0.9035,0.9623,0.0173,0.0161,0.943,0.9429,-6.4e-05,1.1316,0.7544,1743334332435,"{'zone': 'UTC+8', 'r': 0.0173, 'v': 0.0161, 'r7': -0.2167, 'r30': -0.4503, 'r90': -0.7203, 'r180': -0.7248}","[-0.0047, -0.0006, 0.0173]"
GRT_USDT,0.00001,5,0.01106,76,0.09051,0.09043,0.09044,30213521,2724452.28556,23755132,0.08737,0.0916,0.0063,0.00057,0.09053,0.09051,-0.000137,0.10863,0.07242,1743334332515,"{'zone': 'UTC+8', 'r': 0.0063, 'v': 0.00057, 'r7': -0.0517, 'r30': -0.2682, 'r90': -0.5713, 'r180': -0.4932, 'r365': -0.7706}","[-0.0052, 0.0229, 0.0063]"
INJ_USDT,0.001,3,0.01119,281,8.942,8.939,8.94,5786492,50863908.388,822772,8.53,9.024,0.0208,0.183,8.95,8.942,-0.000188,10.74,7.16,1743334332383,"{'zone': 'UTC+8', 'r': 0.0208, 'v': 0.183, 'r7': -0.0881, 'r30': -0.3422, 'r90': -0.5656, 'r180': -0.6103, 'r365': -0.7544}","[0.005, 0.0338, 0.0208]"
